"","long","lat","group","order","region","subregion"
"204",-114.637390136719,35.0191802978516,2,204,"arizona",NA
"205",-114.643127441406,35.1051216125488,2,205,"arizona",NA
"206",-114.603019714355,35.1223106384277,2,206,"arizona",NA
"207",-114.574363708496,35.1796112060547,2,207,"arizona",NA
"208",-114.585830688477,35.2369041442871,2,208,"arizona",NA
"209",-114.597282409668,35.2827415466309,2,209,"arizona",NA
"210",-114.608741760254,35.3572273254395,2,210,"arizona",NA
"211",-114.625938415527,35.4087905883789,2,211,"arizona",NA
"212",-114.666046142578,35.4546279907227,2,212,"arizona",NA
"213",-114.660308837891,35.5004653930664,2,213,"arizona",NA
"214",-114.666046142578,35.5405731201172,2,214,"arizona",NA
"215",-114.671775817871,35.6093292236328,2,215,"arizona",NA
"216",-114.683235168457,35.6666221618652,2,216,"arizona",NA
"217",-114.700416564941,35.712459564209,2,217,"arizona",NA
"218",-114.700416564941,35.7926750183105,2,218,"arizona",NA
"219",-114.688957214355,35.8843460083008,2,219,"arizona",NA
"220",-114.711875915527,35.9129943847656,2,220,"arizona",NA
"221",-114.734802246094,35.9588317871094,2,221,"arizona",NA
"222",-114.734802246094,36.0161285400391,2,222,"arizona",NA
"223",-114.757713317871,36.0619659423828,2,223,"arizona",NA
"224",-114.734802246094,36.1078033447266,2,224,"arizona",NA
"225",-114.700416564941,36.1192588806152,2,225,"arizona",NA
"226",-114.643127441406,36.1421775817871,2,226,"arizona",NA
"227",-114.557182312012,36.153636932373,2,227,"arizona",NA
"228",-114.488426208496,36.1364479064941,2,228,"arizona",NA
"229",-114.396751403809,36.1364479064941,2,229,"arizona",NA
"230",-114.327995300293,36.1135292053223,2,230,"arizona",NA
"231",-114.310813903809,36.0447769165039,2,231,"arizona",NA
"232",-114.264976501465,36.0275840759277,2,232,"arizona",NA
"233",-114.201942443848,36.021858215332,2,233,"arizona",NA
"234",-114.13892364502,36.0390472412109,2,234,"arizona",NA
"235",-114.116004943848,36.0963401794434,2,235,"arizona",NA
"236",-114.08162689209,36.1364479064941,2,236,"arizona",NA
"237",-114.052978515625,36.2109336853027,2,237,"arizona",NA
"238",-114.047248840332,36.8411865234375,2,238,"arizona",NA
"239",-114.041519165039,36.9958839416504,2,239,"arizona",NA
"240",-113.823799133301,36.9958839416504,2,240,"arizona",NA
"241",-113.537322998047,37.0016136169434,2,241,"arizona",NA
"242",-113.279487609863,37.0016136169434,2,242,"arizona",NA
"243",-113.004470825195,37.0016136169434,2,243,"arizona",NA
"244",-112.907066345215,36.9958839416504,2,244,"arizona",NA
"245",-112.729446411133,37.0016136169434,2,245,"arizona",NA
"246",-112.540374755859,36.9958839416504,2,246,"arizona",NA
"247",-112.414321899414,36.9958839416504,2,247,"arizona",NA
"248",-112.208053588867,36.9958839416504,2,248,"arizona",NA
"249",-111.950225830078,37.0016136169434,2,249,"arizona",NA
"250",-111.686668395996,37.0016136169434,2,250,"arizona",NA
"251",-111.411643981934,37.0016136169434,2,251,"arizona",NA
"252",-111.319969177246,37.0016136169434,2,252,"arizona",NA
"253",-111.25121307373,36.9958839416504,2,253,"arizona",NA
"254",-111.125160217285,36.9958839416504,2,254,"arizona",NA
"255",-110.844413757324,37.0016136169434,2,255,"arizona",NA
"256",-110.75846862793,36.9958839416504,2,256,"arizona",NA
"257",-110.683990478516,36.9958839416504,2,257,"arizona",NA
"258",-110.546478271484,36.9958839416504,2,258,"arizona",NA
"259",-110.30583190918,37.0016136169434,2,259,"arizona",NA
"260",-110.088104248047,37.0016136169434,2,260,"arizona",NA
"261",-110.00789642334,37.0016136169434,2,261,"arizona",NA
"262",-109.933410644531,36.9958839416504,2,262,"arizona",NA
"263",-109.715682983398,36.9958839416504,2,263,"arizona",NA
"264",-109.41202545166,36.9958839416504,2,264,"arizona",NA
"265",-109.148460388184,36.9958839416504,2,265,"arizona",NA
"266",-109.039596557617,36.9958839416504,2,266,"arizona",NA
"267",-109.04532623291,35.9989395141602,2,267,"arizona",NA
"268",-109.051063537598,34.9504280090332,2,268,"arizona",NA
"269",-109.051063537598,34.5722732543945,2,269,"arizona",NA
"270",-109.056785583496,33.7758636474609,2,270,"arizona",NA
"271",-109.051063537598,33.2029037475586,2,271,"arizona",NA
"272",-109.056785583496,32.7789154052734,2,272,"arizona",NA
"273",-109.056785583496,32.4236831665039,2,273,"arizona",NA
"274",-109.056785583496,31.3522510528564,2,274,"arizona",NA
"275",-109.234405517578,31.3522510528564,2,275,"arizona",NA
"276",-109.624015808105,31.3465213775635,2,276,"arizona",NA
"277",-109.996437072754,31.3522510528564,2,277,"arizona",NA
"278",-110.351669311523,31.3522510528564,2,278,"arizona",NA
"279",-110.477722167969,31.3522510528564,2,279,"arizona",NA
"280",-110.632415771484,31.3522510528564,2,280,"arizona",NA
"281",-110.987655639648,31.3465213775635,2,281,"arizona",NA
"282",-111.119430541992,31.3579788208008,2,282,"arizona",NA
"283",-111.297050476074,31.4152774810791,2,283,"arizona",NA
"284",-111.388725280762,31.4439239501953,2,284,"arizona",NA
"285",-111.629364013672,31.5184097290039,2,285,"arizona",NA
"286",-112.036163330078,31.6501884460449,2,286,"arizona",NA
"287",-112.32837677002,31.7418632507324,2,287,"arizona",NA
"288",-112.66641998291,31.8392658233643,2,288,"arizona",NA
"289",-112.929977416992,31.9252090454102,2,289,"arizona",NA
"290",-113.187812805176,32.0054244995117,2,290,"arizona",NA
"291",-113.348236083984,32.0569877624512,2,291,"arizona",NA
"292",-113.468559265137,32.097095489502,2,292,"arizona",NA
"293",-113.743583679199,32.1887702941895,2,293,"arizona",NA
"294",-114.035797119141,32.2747116088867,2,294,"arizona",NA
"295",-114.316543579102,32.3606567382812,2,295,"arizona",NA
"296",-114.700416564941,32.4809799194336,2,296,"arizona",NA
"297",-114.809280395508,32.5153541564941,2,297,"arizona",NA
"298",-114.797813415527,32.5783805847168,2,298,"arizona",NA
"299",-114.769172668457,32.6700553894043,2,299,"arizona",NA
"300",-114.734802246094,32.733081817627,2,300,"arizona",NA
"301",-114.688957214355,32.7445373535156,2,301,"arizona",NA
"302",-114.654586791992,32.7388076782227,2,302,"arizona",NA
"303",-114.59156036377,32.7388076782227,2,303,"arizona",NA
"304",-114.551452636719,32.7617263793945,2,304,"arizona",NA
"305",-114.522804260254,32.8247528076172,2,305,"arizona",NA
"306",-114.47696685791,32.8763198852539,2,306,"arizona",NA
"307",-114.47696685791,32.9336166381836,2,307,"arizona",NA
"308",-114.482696533203,32.996639251709,2,308,"arizona",NA
"309",-114.539993286133,33.0424728393555,2,309,"arizona",NA
"310",-114.660308837891,33.0539360046387,2,310,"arizona",NA
"311",-114.700416564941,33.0825843811035,2,311,"arizona",NA
"312",-114.711875915527,33.134147644043,2,312,"arizona",NA
"313",-114.688957214355,33.2659301757812,2,313,"arizona",NA
